软件简称,文件名,地址,地址类型,下载源,文件类型,平台
tdmgcc,tdm64-gcc-10.3.0-2.exe,https://github.com/jmeubank/tdm-gcc/releases/download/v10.3.0-tdm64-2/tdm64-gcc-10.3.0-2.exe,directly,auto,auto,win32
tdmgcc,tdm64-gcc-10.3.0-2.exe,https://dl-software-mirror.ug0.ltd/tdm64-gcc-10.3.0-2.exe,directly,auto,auto,win32
llvm,clang+llvm-13.0.1-x86_64-linux-gnu-ubuntu-18.04.tar.xz,https://github.com/llvm/llvm-project/releases/download/llvmorg-13.0.1/clang+llvm-13.0.1-x86_64-linux-gnu-ubuntu-18.04.tar.xz,directly,auto,auto,linux_deb
llvm,clang+llvm-13.0.1-x86_64-linux-gnu-ubuntu-18.04.tar.xz,https://dl-software-mirror.ug0.ltd/clang+llvm-13.0.1-x86_64-linux-gnu-ubuntu-18.04.tar.xz,directly,auto,auto,linux_deb
llvm,LLVM-13.0.1-win32.exe,https://dl-software-mirror.ug0.ltd/LLVM-13.0.1-win32.exe,directly,auto,auto,win32
llvm,LLVM-13.0.1-win32.exe,https://github.com/llvm/llvm-project/releases/download/llvmorg-13.0.1/LLVM-13.0.1-win32.exe,directly,auto,auto,win32
llvm,LLVM-13.0.1-win64.exe,https://github.com/llvm/llvm-project/releases/download/llvmorg-13.0.1/LLVM-13.0.1-win64.exe,directly,auto,auto,win64
llvm,clang+llvm-14.0.0-x86_64-linux-gnu-ubuntu-18.04.tar.xz,https://github.com/llvm/llvm-project/releases/download/llvmorg-14.0.0/clang+llvm-14.0.0-x86_64-linux-gnu-ubuntu-18.04.tar.xz,directly,auto,auto,linux_deb
llvm,LLVM-14.0.0-win32.exe,https://github.com/llvm/llvm-project/releases/download/llvmorg-14.0.0/LLVM-14.0.0-win32.exe,directly,auto,auto,win32
llvm,LLVM-14.0.0-win64.exe,https://github.com/llvm/llvm-project/releases/download/llvmorg-14.0.0/LLVM-14.0.0-win64.exe,directly,auto,auto,win64
cpeditor,cpeditor-6.9.4-windows-x86-setup-with-gcc-11.2.0-LLVM-12.0.1.exe,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-windows-x86-setup-with-gcc-11.2.0-LLVM-12.0.1.exe,directly,auto,auto,win32
cpeditor,cpeditor-6.9.4-windows-x86-portable-with-gcc-11.2.0-LLVM-12.0.1.zip,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-windows-x86-portable-with-gcc-11.2.0-LLVM-12.0.1.zip,directly,auto,auto,win32
cpeditor,cpeditor-6.9.4-windows-x64-setup-with-gcc-11.2.0-LLVM-12.0.1.exe,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-windows-x64-setup-with-gcc-11.2.0-LLVM-12.0.1.exe,directly,auto,auto,win64
cpeditor,cpeditor-6.9.4-windows-x64-portable-with-gcc-11.2.0-LLVM-12.0.1.zip,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-windows-x64-portable-with-gcc-11.2.0-LLVM-12.0.1.zip,directly,auto,auto,win64
cpeditor,cpeditor-6.9.4-linux-amd64.deb,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-linux-amd64.deb,directly,auto,auto,linux_deb
cpeditor,cpeditor-6.9.4-macos-x64.dmg,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-macos-x64.dmg,directly,auto,auto,macos
cpeditor,cpeditor-6.9.4-linux-x86_64.AppImage,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-linux-x86_64.AppImage,directly,auto,auto,appimage
clion,,https://www.jetbrains.com/clion/download/,multiple,auto,multiple,multiple
idea,,https://www.jetbrains.com/idea/download/,multiple,auto,multiple,multiple
pycharm,,https://www.jetbrains.com/pycharm/download/,multiple,auto,multiple,multiple
codeblocks,codeblocks-20.03-setup.exe,https://www.fosshub.com/Code-Blocks.html?dwl=codeblocks-20.03-setup.exe,page,auto,multiple,win32
codeblocks,codeblocks-17.12-setup.exe,https://nchc.dl.sourceforge.net/project/codeblocks/Binaries/17.12/windows/codeblocks-17.12-setup.exe,directly,auto,auto,win32
codeblocks,codeblocks-20.03mingw-setup.exe,https://www.fosshub.com/Code-Blocks.html?dwl=codeblocks-20.03mingw-setup.exe,page,auto,multiple,win32
codeblocks,codeblocks-20.03-32bit-mingw-32bit-setup.exe,https://www.fosshub.com/Code-Blocks.html?dwl=codeblocks-20.03-32bit-mingw-32bit-setup.exe,page,auto,multiple,win32
sublimetext,sublime_text_build_4126_x64_setup.exe,https://download.sublimetext.com/sublime_text_build_4126_x64_setup.exe,directly,auto,auto,win64
sublimetext,Sublime Text Build 3211 Setup.exe,https://download.sublimetext.com/Sublime%20Text%20Build%203211%20Setup.exe,directly,auto,auto,win32
sublimetext,Sublime Text Build 3211 x64 Setup.exe,https://download.sublimetext.com/Sublime%20Text%20Build%203211%20x64%20Setup.exe,,auto,multiple,win64
sublimetext,sublime_text_build_4126_mac.zip,https://download.sublimetext.com/sublime_text_build_4126_mac.zip,directly,auto,auto,macos
atom,AtomSetup-x64.exe,https://github.com/atom/atom/releases/download/v1.60.0/AtomSetup-x64.exe,directly,auto,auto,win64
atom,AtomSetup.exe,https://github.com/atom/atom/releases/download/v1.60.0/AtomSetup.exe,directly,auto,auto,win32
neovim,nvim-win64.zip,https://github.com/neovim/neovim/releases/download/v0.6.1/nvim-win64.zip,directly,auto,auto,win64
neovim,nvim.appimage,https://github.com/neovim/neovim/releases/download/v0.6.1/nvim.appimage,directly,auto,auto,appimage
gvim,gvim_8.2.4621_x64.exe,https://github.com/vim/vim-win32-installer/releases/download/v8.2.4621/gvim_8.2.4621_x64.exe,directly,auto,auto,win64
gvim,gvim_8.2.4621_x86.exe,https://github.com/vim/vim-win32-installer/releases/download/v8.2.4621/gvim_8.2.4621_x86.exe,directly,auto,auto,win32
devcpp,Dev-Cpp_5.11_TDM-GCC_4.9.2_Setup.exe,https://nchc.dl.sourceforge.net/project/orwelldevcpp/Setup%20Releases/Dev-Cpp%205.11%20TDM-GCC%204.9.2%20Setup.exe,directly,auto,auto,win32
embarcadero_devcpp,Embarcadero_Dev-Cpp_6.3_TDM-GCC_9.2_Setup.exe,https://nchc.dl.sourceforge.net/project/embarcadero-devcpp/v6.3/Embarcadero_Dev-Cpp_6.3_TDM-GCC_9.2_Setup.exe,directly,auto,auto,win32
redpanda_devcpp,RedPanda.C .1.0.0.win64.MinGW-w64 X86_64 GCC 10.3.Setup.exe,https://gitee.com/royqh1979/RedPanda-CPP/attach_files/999998/download/RedPanda.C%20%20.1.0.0.win64.MinGW-w64%20X86_64%20GCC%2010.3.Setup.exe,directly,auto,auto,win64
redpanda_devcpp,RedPanda.C .1.0.0.win32.MinGW-w64 i686 GCC 10.3.Setup.exe,https://gitee.com/royqh1979/RedPanda-CPP/attach_files/1000000/download/RedPanda.C%20%20.1.0.0.win32.MinGW-w64%20i686%20GCC%2010.3.Setup.exe,directly,auto,auto,win32
vs,,https://visualstudio.microsoft.com/zh-hans/downloads/,multiple,auto,multiple,multiple
vscode,,https://code.visualstudio.com/Download,multiple,auto,multiple,multiple
python,python-2.7.18.msi,https://www.python.org/ftp/python/2.7.18/python-2.7.18.msi,directly,auto,auto,win32
python,python-2.7.18.amd64.msi,https://www.python.org/ftp/python/2.7.18/python-2.7.18.amd64.msi,directly,auto,auto,win64
python,python-3.10.4.exe,https://www.python.org/ftp/python/3.10.4/python-3.10.4.exe,directly,auto,auto,win32
python,python-3.10.4-amd64.exe,https://www.python.org/ftp/python/3.10.4/python-3.10.4-amd64.exe,directly,auto,auto,win64
nodejs,node-v16.14.2-x64.msi,https://nodejs.org/dist/v16.14.2/node-v16.14.2-x64.msi,directly,auto,auto,win64
nodejs,node-v16.14.2-x86.msi,https://nodejs.org/dist/v16.14.2/node-v16.14.2-x86.msi,directly,auto,auto,win32
nodejs,node-v17.8.0-x64.msi,https://nodejs.org/dist/v17.8.0/node-v17.8.0-x64.msi,directly,auto,auto,win64
nodejs,node-v17.8.0-x86.msi,https://nodejs.org/dist/v17.8.0/node-v17.8.0-x86.msi,directly,auto,auto,win32
nwjs,nwjs-v0.62.1-win-x64.zip,https://dl.nwjs.io/v0.62.1/nwjs-v0.62.1-win-x64.zip,directly,auto,auto,win64
nwjs,nwjs-sdk-v0.62.1-win-x64.zip,https://dl.nwjs.io/v0.62.1/nwjs-sdk-v0.62.1-win-x64.zip,directly,auto,auto,win64
nwjs,nwjs-v0.62.1-win-ia32.zip,https://dl.nwjs.io/v0.62.1/nwjs-v0.62.1-win-ia32.zip,directly,auto,auto,win32
nwjs,nwjs-sdk-v0.62.1-win-ia32.zip,https://dl.nwjs.io/v0.62.1/nwjs-sdk-v0.62.1-win-ia32.zip,directly,auto,auto,win32
